City,Race,Count,,,
FPD,Black,88404,,,
FPD,White,72975,,,
FPD,Asian American/Pacific Islander,7715,,,
FPD,Hispanic/Latin/Mexican,26897,,,
FPD,Native American/Indigenous,1877,,,
LAPD,Black,335292,,,
LAPD,White,1095548,,,
LAPD,Asian American/Pacific Islander,463951,,,
LAPD,Hispanic/Latin/Mexican,1875297,,,
LAPD,Native American/Indigenous,38987,,,
NOPD,Black,218878,,,
NOPD,White,118271,,,
NOPD,Asian American/Pacific Islander,10752,,,
NOPD,Hispanic/Latin/Mexican,21888,,,
NOPD,Native American/Indigenous,768,,,
