City,Race,Count,,,
Fayetteville,Black,88404,,,
Fayetteville,White,72975,,,
Fayetteville,Asian American/Pacific Islander,7715,,,
Fayetteville,Hispanic/Latin/Mexican,26897,,,
Fayetteville,Native American/Indigenous,1877,,,
Los Angeles,Black,335292,,,
Los Angeles,White,1095548,,,
Los Angeles,Asian American/Pacific Islander,463951,,,
Los Angeles,Hispanic/Latin/Mexican,1875297,,,
Los Angeles,Native American/Indigenous,38987,,,
New Orleans,Black,218878,,,
New Orleans,White,118271,,,
New Orleans,Asian American/Pacific Islander,10752,,,
New Orleans,Hispanic/Latin/Mexican,21888,,,
New Orleans,Native American/Indigenous,768,,,
